algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
fcfs,0.075,0,0.0,0.0006,11.069,11.069,0.0006,11.0684,1024x1024,25,25,0
fcfs,0.075,1,13.3365,13.3372,15.84,2.5035,0.0007,2.5028,512x512,20,20,0
fcfs,0.075,2,26.6778,26.6784,31.4797,4.8019,0.0006,4.8012,768x768,20,20,0
fcfs,0.075,3,40.0159,40.0166,44.814,4.7981,0.0006,4.7975,768x768,20,20,0
fcfs,0.075,4,53.3525,53.353,64.4063,11.0538,0.0005,11.0533,1024x1024,25,25,0
fcfs,0.075,5,66.6864,66.687,77.7462,11.0597,0.0005,11.0592,1024x1024,25,25,0
fcfs,0.075,6,80.022,80.0226,115.8903,35.8683,0.0007,35.8677,1536x1536,35,35,0
fcfs,0.075,7,93.3685,115.8906,118.3911,25.0225,22.5221,2.5004,512x512,20,20,0
fcfs,0.075,8,106.7174,118.3914,129.4466,22.7292,11.674,11.0552,1024x1024,25,25,0
fcfs,0.075,9,120.0506,129.4469,131.9398,11.8892,9.3963,2.493,512x512,20,20,0
fcfs,0.075,10,133.3859,133.3865,138.1586,4.7728,0.0007,4.7721,768x768,20,20,0
fcfs,0.075,11,146.7231,146.7237,157.7813,11.0582,0.0006,11.0576,1024x1024,25,25,0
fcfs,0.075,12,160.0591,160.0596,162.7239,2.6648,0.0005,2.6643,512x512,20,20,0
fcfs,0.075,13,173.3989,173.3997,178.2855,4.8866,0.0008,4.8858,768x768,20,20,0
fcfs,0.075,14,186.7351,186.7358,197.7983,11.0632,0.0008,11.0624,1024x1024,25,25,0
fcfs,0.075,15,200.07,200.0707,211.1289,11.0589,0.0007,11.0582,1024x1024,25,25,0
fcfs,0.075,16,213.405,213.4055,218.1982,4.7933,0.0006,4.7927,768x768,20,20,0
fcfs,0.075,17,226.7424,226.7431,237.7942,11.0518,0.0007,11.0511,1024x1024,25,25,0
fcfs,0.075,18,240.0788,240.0795,251.167,11.0882,0.0007,11.0875,1024x1024,25,25,0
fcfs,0.075,19,253.4126,253.4134,255.9388,2.5262,0.0007,2.5254,512x512,20,20,0
fcfs,0.075,20,266.7542,266.7549,277.8142,11.0601,0.0007,11.0594,1024x1024,25,25,0
fcfs,0.075,21,280.0881,280.0887,291.1529,11.0649,0.0006,11.0642,1024x1024,25,25,0
fcfs,0.075,22,293.4227,293.4234,298.2123,4.7897,0.0007,4.7889,768x768,20,20,0
fcfs,0.075,23,306.7613,306.7619,311.5749,4.8136,0.0007,4.813,768x768,20,20,0
fcfs,0.075,24,320.0963,320.0969,356.0141,35.9178,0.0006,35.9172,1536x1536,35,35,0
fcfs,0.075,25,333.4351,356.0144,360.7979,27.3629,22.5793,4.7835,768x768,20,20,0
fcfs,0.075,26,346.7825,360.7983,363.2883,16.5058,14.0157,2.49,512x512,20,20,0
fcfs,0.075,27,360.1161,363.2886,365.7795,5.6634,3.1725,2.4909,512x512,20,20,0
fcfs,0.075,28,373.4528,373.4534,384.5132,11.0604,0.0006,11.0597,1024x1024,25,25,0
fcfs,0.075,29,386.7861,386.7868,397.885,11.0988,0.0006,11.0982,1024x1024,25,25,0
fcfs,0.075,30,400.1221,400.1228,411.2094,11.0873,0.0007,11.0866,1024x1024,25,25,0
fcfs,0.075,31,413.4568,413.4574,424.5453,11.0886,0.0007,11.0879,1024x1024,25,25,0
fcfs,0.075,32,426.7938,426.7944,437.888,11.0942,0.0006,11.0936,1024x1024,25,25,0
fcfs,0.075,33,440.1304,440.1311,476.0523,35.9219,0.0007,35.9212,1536x1536,35,35,0
fcfs,0.075,34,453.4829,476.0526,480.8407,27.3579,22.5698,4.7881,768x768,20,20,0
fcfs,0.075,35,466.8229,480.841,491.9099,25.087,14.0181,11.0689,1024x1024,25,25,0
fcfs,0.075,36,480.157,491.9102,502.9648,22.8078,11.7532,11.0546,1024x1024,25,25,0
fcfs,0.075,37,493.4934,502.9651,514.0231,20.5296,9.4716,11.058,1024x1024,25,25,0
fcfs,0.075,38,506.8311,514.0233,549.9352,43.1041,7.1922,35.9118,1536x1536,35,35,0
fcfs,0.075,39,520.1643,549.9356,561.0056,40.8414,29.7713,11.0701,1024x1024,25,25,0
fcfs,0.075,40,533.5003,561.0059,572.0549,38.5546,27.5056,11.049,1024x1024,25,25,0
fcfs,0.075,41,546.8493,572.0553,574.544,27.6947,25.206,2.4887,512x512,20,20,0
fcfs,0.075,42,560.1848,574.5444,579.3249,19.1401,14.3596,4.7805,768x768,20,20,0
fcfs,0.075,43,573.5174,579.3252,584.1004,10.5831,5.8078,4.7753,768x768,20,20,0
fcfs,0.075,44,586.856,586.8565,589.3778,2.5218,0.0005,2.5213,512x512,20,20,0
fcfs,0.075,45,600.1968,600.1976,604.9993,4.8025,0.0007,4.8018,768x768,20,20,0
fcfs,0.075,46,613.5354,613.5358,616.0355,2.5001,0.0004,2.4997,512x512,20,20,0
fcfs,0.075,47,626.8744,626.8751,631.6454,4.7711,0.0007,4.7703,768x768,20,20,0
fcfs,0.075,48,640.2115,640.2122,651.272,11.0605,0.0007,11.0598,1024x1024,25,25,0
