Request(request_id=0, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 0 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=1, timestamp=0.0, height=512, width=512, num_frames=1, prompt='Random prompt 1 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=2, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 2 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=3, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 3 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=4, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 4 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=5, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 5 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=6, timestamp=0.0, height=1536, width=1536, num_frames=1, prompt='Random prompt 6 for benchmarking diffusion models', num_inference_steps=35)
Request(request_id=7, timestamp=0.0, height=512, width=512, num_frames=1, prompt='Random prompt 7 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=8, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 8 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=9, timestamp=0.0, height=512, width=512, num_frames=1, prompt='Random prompt 9 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=10, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 10 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=11, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 11 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=12, timestamp=0.0, height=512, width=512, num_frames=1, prompt='Random prompt 12 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=13, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 13 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=14, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 14 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=15, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 15 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=16, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 16 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=17, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 17 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=18, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 18 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=19, timestamp=0.0, height=512, width=512, num_frames=1, prompt='Random prompt 19 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=20, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 20 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=21, timestamp=0.0, height=1024, width=1024, num_frames=1, prompt='Random prompt 21 for benchmarking diffusion models', num_inference_steps=25)
Request(request_id=22, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 22 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=23, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 23 for benchmarking diffusion models', num_inference_steps=20)
Request(request_id=24, timestamp=0.0, height=1536, width=1536, num_frames=1, prompt='Random prompt 24 for benchmarking diffusion models', num_inference_steps=35)
Request(request_id=25, timestamp=0.0, height=768, width=768, num_frames=1, prompt='Random prompt 25 for benchmarking diffusion models', num_inference_steps=20)
