algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
p95_bucket_sjf,0.125,0,0.0,0.0008,11.0468,11.0468,0.0008,11.046,1024x1024,25,25,1
p95_bucket_sjf,0.125,1,8.011,11.0471,13.5386,5.5277,3.0361,2.4915,512x512,20,20,1
p95_bucket_sjf,0.125,2,16.0137,16.0146,20.797,4.7833,0.0008,4.7825,768x768,20,20,1
p95_bucket_sjf,0.125,3,24.0165,24.0172,28.8195,4.803,0.0007,4.8023,768x768,20,20,1
p95_bucket_sjf,0.125,4,32.0183,32.0192,43.0638,11.0455,0.0009,11.0446,1024x1024,25,25,1
p95_bucket_sjf,0.125,5,40.027,43.064,54.0702,14.0432,3.037,11.0062,1024x1024,25,25,1
p95_bucket_sjf,0.125,7,56.0293,75.6082,78.4866,22.4573,19.5789,2.8784,512x512,20,20,1
p95_bucket_sjf,0.125,6,48.029,54.0704,92.3543,44.3253,6.0414,38.2839,1536x1536,35,35,3
p95_bucket_sjf,0.125,9,72.0404,92.3547,94.8356,22.7951,20.3142,2.4809,512x512,20,20,1
p95_bucket_sjf,0.125,8,64.0328,94.8359,105.8532,41.8203,30.8031,11.0172,1024x1024,25,25,1
p95_bucket_sjf,0.125,10,80.0432,105.8536,110.6156,30.5724,25.8103,4.762,768x768,20,20,1
p95_bucket_sjf,0.125,11,88.0521,110.6159,121.6469,33.5948,22.5638,11.031,1024x1024,25,25,1
p95_bucket_sjf,0.125,12,96.0507,121.6473,124.129,28.0783,25.5965,2.4818,512x512,20,20,1
p95_bucket_sjf,0.125,13,104.0579,124.1293,128.8943,24.8364,20.0714,4.765,768x768,20,20,1
p95_bucket_sjf,0.125,14,112.0584,128.8947,139.9216,27.8632,16.8362,11.0269,1024x1024,25,25,1
p95_bucket_sjf,0.125,15,120.0671,139.922,150.9406,30.8735,19.8549,11.0186,1024x1024,25,25,1
p95_bucket_sjf,0.125,16,128.0717,150.9409,155.7023,27.6306,22.8692,4.7613,768x768,20,20,1
p95_bucket_sjf,0.125,17,136.072,155.7026,166.7206,30.6486,19.6306,11.018,1024x1024,25,25,1
p95_bucket_sjf,0.125,19,152.0755,166.7209,169.2021,17.1267,14.6454,2.4812,512x512,20,20,1
p95_bucket_sjf,0.125,18,144.0748,169.2025,180.2287,36.1539,25.1277,11.0262,1024x1024,25,25,1
p95_bucket_sjf,0.125,20,160.0787,180.2291,191.282,31.2033,20.1504,11.0529,1024x1024,25,25,1
p95_bucket_sjf,0.125,22,176.0807,191.2824,196.0575,19.9768,15.2017,4.7752,768x768,20,20,1
p95_bucket_sjf,0.125,21,168.0788,196.0579,207.1057,39.0269,27.979,11.0478,1024x1024,25,25,1
p95_bucket_sjf,0.125,23,184.084,207.1059,211.8712,27.7872,23.0219,4.7652,768x768,20,20,1
p95_bucket_sjf,0.125,25,200.0899,222.4604,227.6237,27.5338,22.3705,5.1633,768x768,20,20,1
p95_bucket_sjf,0.125,26,208.0919,238.1952,241.0755,32.9835,30.1033,2.8803,512x512,20,20,1
p95_bucket_sjf,0.125,24,192.0837,211.8714,254.9505,62.8668,19.7878,43.079,1536x1536,35,35,3
p95_bucket_sjf,0.125,27,216.095,254.9508,257.4338,41.3388,38.8558,2.483,512x512,20,20,1
p95_bucket_sjf,0.125,28,224.0976,257.4343,268.4514,44.3538,33.3366,11.0172,1024x1024,25,25,1
p95_bucket_sjf,0.125,29,232.0989,268.452,279.4695,47.3706,36.353,11.0176,1024x1024,25,25,1
p95_bucket_sjf,0.125,30,240.1087,279.4701,290.493,50.3843,39.3614,11.0229,1024x1024,25,25,1
p95_bucket_sjf,0.125,31,248.1124,290.4934,301.511,53.3987,42.381,11.0176,1024x1024,25,25,1
p95_bucket_sjf,0.125,32,256.3503,301.5114,312.5286,56.1782,45.1611,11.0171,1024x1024,25,25,1
p95_bucket_sjf,0.125,34,272.1239,323.1216,328.2765,56.1526,50.9976,5.1549,768x768,20,20,1
p95_bucket_sjf,0.125,35,280.1308,328.2768,339.2987,59.1679,48.146,11.0219,1024x1024,25,25,1
p95_bucket_sjf,0.125,36,288.1387,339.2992,350.3244,62.1857,51.1605,11.0252,1024x1024,25,25,1
p95_bucket_sjf,0.125,37,296.1344,350.3248,361.3331,65.1987,54.1904,11.0083,1024x1024,25,25,1
p95_bucket_sjf,0.125,39,312.1394,361.3335,372.5894,60.45,49.1941,11.2559,1024x1024,25,25,1
p95_bucket_sjf,0.125,40,320.1435,372.59,383.6079,63.4645,52.4465,11.0179,1024x1024,25,25,1
p95_bucket_sjf,0.125,41,328.1514,383.6083,386.0893,57.9379,55.4569,2.481,512x512,20,20,1
p95_bucket_sjf,0.125,42,336.1557,386.0899,390.8534,54.6977,49.9342,4.7635,768x768,20,20,1
p95_bucket_sjf,0.125,44,352.1603,401.4187,404.2988,52.1385,49.2584,2.8801,512x512,20,20,1
p95_bucket_sjf,0.125,43,344.1597,404.2991,409.0631,64.9034,60.1394,4.7639,768x768,20,20,1
p95_bucket_sjf,0.125,45,360.1695,409.0634,413.8301,53.6606,48.8939,4.7667,768x768,20,20,1
p95_bucket_sjf,0.125,33,264.1217,312.5288,427.6996,163.578,48.4072,115.1708,1536x1536,35,35,3
p95_bucket_sjf,0.125,46,368.1716,427.7004,430.1839,62.0122,59.5287,2.4835,512x512,20,20,1
p95_bucket_sjf,0.125,47,376.1747,430.1846,434.9498,58.7751,54.0099,4.7652,768x768,20,20,1
p95_bucket_sjf,0.125,48,384.4421,434.9503,445.9803,61.5382,50.5083,11.0299,1024x1024,25,25,1
p95_bucket_sjf,0.125,49,392.1756,445.9806,450.7411,58.5655,53.805,4.7605,768x768,20,20,1
p95_bucket_sjf,0.125,50,400.1813,450.7415,455.5022,55.321,50.5602,4.7608,768x768,20,20,1
p95_bucket_sjf,0.125,51,408.1845,466.0996,471.2588,63.0744,57.9152,5.1592,768x768,20,20,1
p95_bucket_sjf,0.125,52,416.1853,471.2596,476.0216,59.8364,55.0743,4.7621,768x768,20,20,1
p95_bucket_sjf,0.125,56,448.2002,486.5953,491.7572,43.557,38.395,5.162,768x768,20,20,1
p95_bucket_sjf,0.125,54,432.1914,491.7577,502.7724,70.5811,59.5663,11.0148,1024x1024,25,25,1
p95_bucket_sjf,0.125,55,440.1963,502.7729,513.7908,73.5946,62.5767,11.0179,1024x1024,25,25,1
p95_bucket_sjf,0.125,58,464.2045,513.7915,518.5511,54.3467,49.587,4.7596,768x768,20,20,1
p95_bucket_sjf,0.125,57,456.2007,518.5516,529.5949,73.3941,62.3509,11.0432,1024x1024,25,25,1
p95_bucket_sjf,0.125,59,472.2063,529.5953,534.3601,62.1539,57.389,4.7648,768x768,20,20,1
p95_bucket_sjf,0.125,38,304.1376,455.5026,548.2282,244.0906,151.365,92.7256,1536x1536,35,35,3
p95_bucket_sjf,0.125,61,488.2143,548.2286,559.2477,71.0334,60.0143,11.0191,1024x1024,25,25,1
p95_bucket_sjf,0.125,62,496.2152,559.2484,570.2633,74.0482,63.0332,11.015,1024x1024,25,25,1
p95_bucket_sjf,0.125,63,504.2185,570.2641,581.2849,77.0665,66.0457,11.0208,1024x1024,25,25,1
p95_bucket_sjf,0.125,64,512.2244,581.2854,592.3101,80.0857,69.061,11.0246,1024x1024,25,25,1
p95_bucket_sjf,0.125,67,536.2367,592.3106,594.7921,58.5553,56.0739,2.4814,512x512,20,20,1
p95_bucket_sjf,0.125,66,528.2327,594.7926,599.5553,71.3226,66.5599,4.7627,768x768,20,20,1
p95_bucket_sjf,0.125,65,520.2246,599.5557,610.5775,90.3529,79.3311,11.0217,1024x1024,25,25,1
p95_bucket_sjf,0.125,68,544.2463,610.5779,615.3427,71.0964,66.3316,4.7648,768x768,20,20,1
p95_bucket_sjf,0.125,69,552.2467,615.3432,620.1173,67.8706,63.0965,4.7741,768x768,20,20,1
p95_bucket_sjf,0.125,70,560.247,620.1178,624.8798,64.6329,59.8708,4.762,768x768,20,20,1
p95_bucket_sjf,0.125,73,584.2582,635.4741,640.6347,56.3765,51.2159,5.1606,768x768,20,20,1
p95_bucket_sjf,0.125,75,600.2656,651.2104,656.375,56.1094,50.9447,5.1646,768x768,20,20,1
p95_bucket_sjf,0.125,74,592.2637,656.3754,667.4007,75.1369,64.1117,11.0253,1024x1024,25,25,1
p95_bucket_sjf,0.125,53,424.1923,624.8802,681.2676,257.0753,200.6879,56.3873,1536x1536,35,35,3
