algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
p95_bucket_sjf_norm,0.075,0,0.0,0.0009,11.071,11.071,0.0009,11.0701,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,1,13.3365,13.3374,15.8456,2.509,0.0009,2.5082,512x512,20,20,1
p95_bucket_sjf_norm,0.075,2,26.6767,26.6775,31.4606,4.784,0.0009,4.7831,768x768,20,20,1
p95_bucket_sjf_norm,0.075,3,40.0143,40.0153,44.8267,4.8124,0.001,4.8114,768x768,20,20,1
p95_bucket_sjf_norm,0.075,4,53.3517,53.3525,64.4263,11.0746,0.0007,11.0738,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,5,66.6852,66.686,77.7622,11.077,0.0008,11.0762,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,7,93.3698,101.6059,104.4974,11.1276,8.236,2.8916,512x512,20,20,1
p95_bucket_sjf_norm,0.075,6,80.0215,80.0228,118.4671,38.4456,0.0013,38.4442,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,8,106.7047,118.4674,129.5427,22.838,11.7627,11.0754,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,9,120.1159,129.543,132.0319,11.916,9.4272,2.4888,512x512,20,20,1
p95_bucket_sjf_norm,0.075,10,133.3755,133.3763,138.1575,4.7819,0.0008,4.7812,768x768,20,20,1
p95_bucket_sjf_norm,0.075,11,146.7133,146.7141,157.8005,11.0872,0.0008,11.0864,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,12,160.0465,160.0472,162.5676,2.5211,0.0007,2.5204,512x512,20,20,1
p95_bucket_sjf_norm,0.075,13,173.3874,173.3883,178.1749,4.7875,0.0008,4.7866,768x768,20,20,1
p95_bucket_sjf_norm,0.075,14,186.7233,186.7242,197.7635,11.0402,0.0009,11.0393,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,15,200.0582,200.0589,211.4529,11.3947,0.0007,11.394,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,16,213.3928,213.3936,218.2134,4.8207,0.0009,4.8198,768x768,20,20,1
p95_bucket_sjf_norm,0.075,17,226.7299,226.7307,237.8018,11.0719,0.0008,11.071,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,18,240.0635,240.0642,251.1422,11.0787,0.0008,11.0779,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,19,253.4017,253.4025,255.9064,2.5048,0.0008,2.5039,512x512,20,20,1
p95_bucket_sjf_norm,0.075,20,266.7423,266.743,277.7889,11.0467,0.0008,11.0459,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,21,280.076,280.0767,291.2642,11.1882,0.0007,11.1875,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,22,293.4107,293.4116,298.231,4.8204,0.0009,4.8194,768x768,20,20,1
p95_bucket_sjf_norm,0.075,23,306.7485,306.7493,311.5433,4.7948,0.0007,4.794,768x768,20,20,1
p95_bucket_sjf_norm,0.075,25,333.4216,341.6401,346.8177,13.3961,8.2185,5.1776,768x768,20,20,1
p95_bucket_sjf_norm,0.075,26,346.7687,346.818,349.3108,2.5421,0.0492,2.4929,512x512,20,20,1
p95_bucket_sjf_norm,0.075,24,320.0853,320.0861,363.275,43.1897,0.0008,43.1889,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,27,360.1054,363.2754,365.7748,5.6694,3.17,2.4994,512x512,20,20,1
p95_bucket_sjf_norm,0.075,28,373.4437,373.4445,384.5305,11.0868,0.0008,11.086,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,29,386.7781,386.7794,397.8561,11.0781,0.0013,11.0768,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,30,400.1115,400.1122,411.1877,11.0762,0.0007,11.0755,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,31,413.4459,413.4468,424.5175,11.0716,0.0008,11.0707,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,32,426.7815,426.7824,437.8465,11.065,0.0009,11.0641,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,34,453.4622,461.7309,466.9139,13.4517,8.2687,5.183,768x768,20,20,1
p95_bucket_sjf_norm,0.075,33,440.1167,440.1175,480.8735,40.7568,0.0008,40.756,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,35,466.8089,480.8738,491.9403,25.1314,14.0649,11.0665,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,36,480.1561,491.9407,503.003,22.8469,11.7845,11.0623,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,37,493.4832,503.0033,514.0688,20.5855,9.52,11.0655,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,39,520.1565,524.6705,536.1549,15.9985,4.5141,11.4844,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,40,533.5032,536.1552,547.2211,13.7179,2.6521,11.0659,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,41,546.8437,547.2214,549.7123,2.8686,0.3777,2.4909,512x512,20,20,1
p95_bucket_sjf_norm,0.075,42,560.1806,560.289,565.472,5.2915,0.1085,5.183,768x768,20,20,1
p95_bucket_sjf_norm,0.075,38,506.8232,514.0691,579.4285,72.6053,7.2459,65.3594,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,43,573.5161,579.4288,584.2168,10.7008,5.9128,4.788,768x768,20,20,1
p95_bucket_sjf_norm,0.075,44,586.8507,586.8516,589.3609,2.5102,0.0009,2.5093,512x512,20,20,1
p95_bucket_sjf_norm,0.075,45,600.1905,600.1911,604.9737,4.7832,0.0006,4.7826,768x768,20,20,1
p95_bucket_sjf_norm,0.075,46,613.5285,613.5294,616.0589,2.5305,0.0009,2.5296,512x512,20,20,1
p95_bucket_sjf_norm,0.075,47,626.8658,626.8667,631.6596,4.7938,0.0009,4.7929,768x768,20,20,1
p95_bucket_sjf_norm,0.075,48,640.2052,640.2059,651.2593,11.0541,0.0007,11.0534,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,49,653.5376,653.5385,658.3353,4.7976,0.0009,4.7968,768x768,20,20,1
p95_bucket_sjf_norm,0.075,50,666.8738,666.8746,671.656,4.7821,0.0007,4.7814,768x768,20,20,1
p95_bucket_sjf_norm,0.075,51,680.2133,680.2141,685.0259,4.8127,0.0009,4.8118,768x768,20,20,1
p95_bucket_sjf_norm,0.075,52,693.5488,693.5495,698.352,4.8032,0.0008,4.8024,768x768,20,20,1
p95_bucket_sjf_norm,0.075,53,706.8839,706.8847,742.7819,35.898,0.0008,35.8971,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,54,720.2204,742.7822,753.8397,33.6194,22.5619,11.0575,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,56,746.9002,753.8401,758.6193,11.7191,6.9398,4.7793,768x768,20,20,1
p95_bucket_sjf_norm,0.075,55,733.5758,758.6197,769.6743,36.0985,25.0438,11.0546,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,57,760.2365,769.6746,780.7345,20.4981,9.4381,11.06,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,58,773.5711,780.7349,785.5148,11.9437,7.1638,4.7799,768x768,20,20,1
p95_bucket_sjf_norm,0.075,59,786.906,786.9069,791.6844,4.7784,0.0009,4.7775,768x768,20,20,1
p95_bucket_sjf_norm,0.075,60,800.2433,800.244,836.1692,35.9258,0.0007,35.9251,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,61,813.5805,836.1695,847.2284,33.6479,22.5889,11.0589,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,62,826.9258,847.2288,858.2933,31.3674,20.3029,11.0645,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,63,840.2615,858.2936,869.3528,29.0913,18.0321,11.0592,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,64,853.5977,869.3531,880.4121,26.8144,15.7554,11.059,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,66,880.2725,880.4124,885.1923,4.9198,0.1399,4.7799,768x768,20,20,1
p95_bucket_sjf_norm,0.075,65,866.9337,885.1927,896.2533,29.3196,18.259,11.0606,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,67,893.6098,896.2536,898.7443,5.1345,2.6438,2.4907,512x512,20,20,1
p95_bucket_sjf_norm,0.075,68,906.9448,906.946,911.7497,4.8049,0.0011,4.8037,768x768,20,20,1
p95_bucket_sjf_norm,0.075,69,920.2814,920.2822,925.0987,4.8174,0.0008,4.8165,768x768,20,20,1
p95_bucket_sjf_norm,0.075,70,933.6195,933.6202,938.406,4.7865,0.0007,4.7858,768x768,20,20,1
p95_bucket_sjf_norm,0.075,71,946.9566,946.9575,982.8785,35.9219,0.0009,35.921,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,73,973.6389,982.8788,987.6648,14.0259,9.24,4.786,768x768,20,20,1
p95_bucket_sjf_norm,0.075,74,986.9729,987.6651,998.7343,11.7615,0.6922,11.0692,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,75,1000.3096,1009.3288,1014.5092,14.1996,9.0192,5.1803,768x768,20,20,1
p95_bucket_sjf_norm,0.075,72,960.2934,998.7346,1039.4456,79.1522,38.4412,40.711,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,77,1026.9975,1039.4459,1050.5198,23.5223,12.4484,11.0739,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,78,1041.0698,1050.52,1055.3048,14.235,9.4502,4.7848,768x768,20,20,1
p95_bucket_sjf_norm,0.075,79,1053.6781,1055.3052,1060.0901,6.4121,1.6271,4.785,768x768,20,20,1
p95_bucket_sjf_norm,0.075,80,1067.0151,1070.6857,1082.1431,15.128,3.6706,11.4574,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,81,1080.3541,1082.1434,1086.9247,6.5706,1.7893,4.7813,768x768,20,20,1
p95_bucket_sjf_norm,0.075,76,1013.6571,1060.0904,1111.8639,98.2068,46.4333,51.7735,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,82,1093.691,1111.8644,1122.9292,29.2382,18.1733,11.0648,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,84,1120.3656,1122.9295,1127.7114,7.3458,2.564,4.7818,768x768,20,20,1
p95_bucket_sjf_norm,0.075,85,1133.7006,1138.298,1143.4783,9.7778,4.5975,5.1803,768x768,20,20,1
p95_bucket_sjf_norm,0.075,83,1107.0312,1127.7118,1168.3979,61.3668,20.6806,40.6862,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,87,1160.3819,1168.3982,1179.4651,19.0831,8.0163,11.0668,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,88,1173.7198,1179.4655,1181.956,8.2362,5.7457,2.4905,512x512,20,20,1
p95_bucket_sjf_norm,0.075,89,1187.0539,1192.5434,1195.4344,8.3806,5.4896,2.891,512x512,20,20,1
p95_bucket_sjf_norm,0.075,90,1200.3935,1206.0084,1208.9022,8.5086,5.6148,2.8938,512x512,20,20,1
p95_bucket_sjf_norm,0.075,86,1147.0347,1181.9563,1222.8666,75.8319,34.9216,40.9103,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,91,1213.7302,1222.867,1233.9377,20.2076,9.1368,11.0708,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,92,1227.0653,1233.938,1245.0264,17.9611,6.8727,11.0884,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,93,1240.4017,1245.0267,1256.1087,15.707,4.625,11.082,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,94,1253.7346,1256.1089,1258.608,4.8734,2.3743,2.4991,512x512,20,20,1
p95_bucket_sjf_norm,0.075,95,1267.0741,1267.0749,1271.8894,4.8154,0.0009,4.8145,768x768,20,20,1
p95_bucket_sjf_norm,0.075,96,1280.4133,1280.4142,1316.3343,35.921,0.0009,35.9201,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,97,1293.759,1316.3347,1327.3981,33.6391,22.5757,11.0634,1024x1024,25,25,1
p95_bucket_sjf_norm,0.075,98,1307.1062,1327.3984,1363.3129,56.2067,20.2922,35.9146,1536x1536,35,35,3
p95_bucket_sjf_norm,0.075,99,1320.4424,1363.3134,1399.2332,78.7908,42.8709,35.9199,1536x1536,35,35,3
