algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
p95_first,0.125,0,0.0,0.0008,11.054,11.054,0.0008,11.0532,1024x1024,25,25,1
p95_first,0.125,1,8.0116,11.0543,13.5377,5.5261,3.0427,2.4834,512x512,20,20,1
p95_first,0.125,2,16.0145,16.0153,20.829,4.8145,0.0008,4.8138,768x768,20,20,1
p95_first,0.125,3,24.0187,24.0195,28.8116,4.793,0.0009,4.7921,768x768,20,20,1
p95_first,0.125,4,32.0194,32.0202,43.0829,11.0635,0.0008,11.0627,1024x1024,25,25,1
p95_first,0.125,5,40.0282,43.0833,54.1195,14.0914,3.0551,11.0362,1024x1024,25,25,1
p95_first,0.125,7,56.0325,64.7149,67.5973,11.5648,8.6824,2.8824,512x512,20,20,1
p95_first,0.125,9,72.038,78.1769,81.0622,9.0242,6.1389,2.8853,512x512,20,20,1
p95_first,0.125,6,48.0321,54.1198,94.9758,46.9438,6.0877,40.856,1536x1536,35,35,3
p95_first,0.125,10,80.0498,94.9762,99.7618,19.712,14.9265,4.7856,768x768,20,20,1
p95_first,0.125,8,64.0358,99.7621,110.8306,46.7949,35.7263,11.0685,1024x1024,25,25,1
p95_first,0.125,12,96.822,110.831,113.3136,16.4916,14.009,2.4826,512x512,20,20,1
p95_first,0.125,11,88.0511,113.3139,124.3712,36.3201,25.2628,11.0573,1024x1024,25,25,1
p95_first,0.125,13,104.0614,124.3715,129.1444,25.083,20.3101,4.7729,768x768,20,20,1
p95_first,0.125,14,112.0643,129.1448,140.1964,28.1322,17.0806,11.0516,1024x1024,25,25,1
p95_first,0.125,16,128.068,140.1968,144.9753,16.9074,12.1289,4.7785,768x768,20,20,1
p95_first,0.125,15,120.0675,144.9759,156.0246,35.9571,24.9084,11.0487,1024x1024,25,25,1
p95_first,0.125,19,152.0791,156.0249,158.5109,6.4318,3.9457,2.4861,512x512,20,20,1
p95_first,0.125,17,136.073,158.5112,169.5597,33.4867,22.4383,11.0484,1024x1024,25,25,1
p95_first,0.125,18,144.0748,169.56,180.6097,36.5349,25.4851,11.0498,1024x1024,25,25,1
p95_first,0.125,20,160.079,180.6101,191.6525,31.5735,20.5312,11.0423,1024x1024,25,25,1
p95_first,0.125,22,176.0837,191.6528,196.4233,20.3396,15.5691,4.7705,768x768,20,20,1
p95_first,0.125,21,168.0835,196.4236,207.4735,39.39,28.34,11.05,1024x1024,25,25,1
p95_first,0.125,23,184.0841,207.4741,212.2462,28.1622,23.39,4.7722,768x768,20,20,1
p95_first,0.125,25,200.0971,212.2467,217.025,16.9279,12.1495,4.7783,768x768,20,20,1
p95_first,0.125,26,208.3762,217.0253,219.5131,11.1369,8.6491,2.4878,512x512,20,20,1
p95_first,0.125,27,216.1102,219.5135,222.0028,5.8926,3.4033,2.4892,512x512,20,20,1
p95_first,0.125,24,192.2777,222.0031,257.8918,65.6141,29.7253,35.8887,1536x1536,35,35,3
p95_first,0.125,28,224.1127,257.8923,268.945,44.8323,33.7796,11.0527,1024x1024,25,25,1
p95_first,0.125,29,232.1185,268.9456,279.9921,47.8736,36.8272,11.0465,1024x1024,25,25,1
