algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
size_bucket_sjf_aging,0.125,0,0.0,0.0008,11.071,11.071,0.0008,11.0702,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,1,8.0116,11.0712,13.56,5.5484,3.0596,2.4887,512x512,20,20,1
size_bucket_sjf_aging,0.125,2,16.0129,16.0136,20.8372,4.8243,0.0007,4.8236,768x768,20,20,1
size_bucket_sjf_aging,0.125,3,24.0152,24.0158,28.8046,4.7894,0.0007,4.7887,768x768,20,20,1
size_bucket_sjf_aging,0.125,4,32.0176,32.0185,43.1638,11.1462,0.0009,11.1453,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,5,40.0288,43.1642,54.2866,14.2578,3.1353,11.1224,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,7,56.0312,64.8798,67.8003,11.7691,8.8486,2.9205,512x512,20,20,1
size_bucket_sjf_aging,0.125,9,72.0373,78.3854,81.2991,9.2618,6.3481,2.9136,512x512,20,20,1
size_bucket_sjf_aging,0.125,6,48.0283,54.287,95.4289,47.4006,6.2587,41.1419,1536x1536,35,35,3
size_bucket_sjf_aging,0.125,8,64.0325,95.4292,106.8788,42.8464,31.3968,11.4496,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,10,80.0477,106.8792,111.6988,31.6511,26.8315,4.8196,768x768,20,20,1
size_bucket_sjf_aging,0.125,12,96.6627,111.6992,114.2115,17.5489,15.0365,2.5123,512x512,20,20,1
size_bucket_sjf_aging,0.125,11,88.0458,114.212,125.5963,37.5505,26.1662,11.3843,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,13,104.0603,125.5965,130.4533,26.3931,21.5363,4.8568,768x768,20,20,1
size_bucket_sjf_aging,0.125,14,112.2429,130.4538,141.5214,29.2785,18.2109,11.0676,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,16,128.0652,141.5217,146.3104,18.2452,13.4565,4.7887,768x768,20,20,1
size_bucket_sjf_aging,0.125,15,120.0683,146.3107,157.3739,37.3056,26.2424,11.0632,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,19,152.0736,157.3742,159.8653,7.7917,5.3006,2.4911,512x512,20,20,1
size_bucket_sjf_aging,0.125,17,136.0701,159.8656,170.9416,34.8715,23.7955,11.076,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,18,144.0735,170.942,182.0186,37.9451,26.8685,11.0766,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,20,160.1238,182.0191,193.0936,32.9697,21.8953,11.0745,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,22,176.0842,193.094,197.8771,21.7929,17.0098,4.7831,768x768,20,20,1
size_bucket_sjf_aging,0.125,21,168.0789,197.8774,208.9515,40.8726,29.7985,11.0741,1024x1024,25,25,1
size_bucket_sjf_aging,0.125,23,184.0835,208.9519,213.7393,29.6559,24.8684,4.7874,768x768,20,20,1
