algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
size_bucket_sjf_aging_no_preempt,0.05,0,0.0,0.001,11.0749,11.0749,0.001,11.0739,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,1,20.0072,20.0079,22.506,2.4988,0.0007,2.4981,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,2,40.0187,40.0192,44.8256,4.807,0.0006,4.8064,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,3,60.0276,60.0283,64.8167,4.7892,0.0007,4.7884,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,4,80.0372,80.0377,91.1148,11.0775,0.0005,11.077,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,5,100.0427,100.0432,111.1133,11.0706,0.0005,11.0701,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,6,120.0456,120.0464,155.9357,35.8901,0.0007,35.8894,1536x1536,35,35,0
size_bucket_sjf_aging_no_preempt,0.05,7,140.0653,155.936,158.4293,18.364,15.8707,2.4933,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,8,160.0592,160.0596,171.107,11.0477,0.0004,11.0473,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,9,180.0649,180.0654,182.6466,2.5816,0.0005,2.5812,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,10,200.077,200.0777,204.8633,4.7864,0.0008,4.7856,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,11,220.0863,220.0869,231.1444,11.0581,0.0007,11.0575,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,12,240.0906,240.0917,242.6065,2.5159,0.0011,2.5148,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,13,260.1033,260.1041,264.8765,4.7732,0.0008,4.7725,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,14,280.1135,280.1143,291.1627,11.0492,0.0008,11.0484,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,15,300.1163,300.1169,311.172,11.0558,0.0006,11.0552,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,16,320.1199,320.1204,324.9025,4.7826,0.0005,4.782,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,17,340.1272,340.1279,351.1748,11.0476,0.0007,11.0469,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,18,360.1337,360.1345,371.1811,11.0474,0.0008,11.0466,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,19,380.1362,380.1369,382.6307,2.4946,0.0008,2.4938,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,20,400.1481,400.1489,411.1958,11.0477,0.0008,11.0469,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,21,420.1547,420.1554,431.3862,11.2315,0.0006,11.2309,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,22,440.1564,440.1571,444.9678,4.8113,0.0007,4.8107,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,23,460.1668,460.1674,464.9677,4.8009,0.0006,4.8003,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,24,480.1774,480.1781,516.0107,35.8333,0.0007,35.8325,1536x1536,35,35,0
size_bucket_sjf_aging_no_preempt,0.05,25,500.206,516.0109,520.7959,20.5899,15.8049,4.785,768x768,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,26,520.1976,520.7961,523.2842,3.0867,0.5986,2.4881,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,27,540.2077,540.2084,542.7041,2.4965,0.0008,2.4957,512x512,20,20,0
size_bucket_sjf_aging_no_preempt,0.05,28,560.211,560.2118,571.2616,11.0506,0.0008,11.0499,1024x1024,25,25,0
size_bucket_sjf_aging_no_preempt,0.05,29,580.2139,580.2146,591.2684,11.0545,0.0007,11.0538,1024x1024,25,25,0
