algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
sjf_aging,0.05,0,0.0,0.0005,11.0624,11.0625,0.0005,11.062,1024x1024,25,25,1
sjf_aging,0.05,1,20.0066,20.0074,22.5279,2.5213,0.0008,2.5204,512x512,20,20,1
sjf_aging,0.05,2,40.0163,40.0171,44.8075,4.7912,0.0007,4.7905,768x768,20,20,1
sjf_aging,0.05,3,60.0259,60.0265,64.8229,4.797,0.0006,4.7964,768x768,20,20,1
sjf_aging,0.05,4,80.036,80.037,91.0807,11.0447,0.001,11.0436,1024x1024,25,25,1
sjf_aging,0.05,5,100.0412,100.0418,111.0746,11.0334,0.0006,11.0328,1024x1024,25,25,1
sjf_aging,0.05,6,120.0454,120.0461,155.9242,35.8789,0.0008,35.8781,1536x1536,35,35,3
sjf_aging,0.05,7,140.0642,155.9245,158.4166,18.3523,15.8603,2.4921,512x512,20,20,1
sjf_aging,0.05,8,160.0606,160.0612,171.1022,11.0416,0.0006,11.041,1024x1024,25,25,1
sjf_aging,0.05,9,180.0646,180.0657,182.5626,2.498,0.0011,2.4969,512x512,20,20,1
sjf_aging,0.05,10,200.0753,200.0765,204.862,4.7867,0.0011,4.7856,768x768,20,20,1
sjf_aging,0.05,11,220.0848,220.0857,231.1068,11.022,0.0008,11.0211,1024x1024,25,25,1
sjf_aging,0.05,12,240.09,240.0908,242.6105,2.5205,0.0007,2.5197,512x512,20,20,1
sjf_aging,0.05,13,260.1016,260.1024,264.8744,4.7728,0.0008,4.772,768x768,20,20,1
sjf_aging,0.05,14,280.1126,280.1137,291.1296,11.017,0.0011,11.0158,1024x1024,25,25,1
sjf_aging,0.05,15,300.1167,300.1173,311.1581,11.0414,0.0006,11.0408,1024x1024,25,25,1
sjf_aging,0.05,16,320.119,320.1201,324.9097,4.7907,0.0011,4.7896,768x768,20,20,1
sjf_aging,0.05,17,340.1305,340.1313,351.1616,11.0311,0.0008,11.0303,1024x1024,25,25,1
sjf_aging,0.05,18,360.1329,360.1336,371.1869,11.0541,0.0007,11.0534,1024x1024,25,25,1
sjf_aging,0.05,19,380.1386,380.1392,382.6435,2.5049,0.0006,2.5043,512x512,20,20,1
sjf_aging,0.05,20,400.1499,400.151,411.194,11.0442,0.0012,11.043,1024x1024,25,25,1
sjf_aging,0.05,21,420.1556,420.1565,431.4075,11.2519,0.0009,11.251,1024x1024,25,25,1
sjf_aging,0.05,22,440.1706,440.1714,444.9482,4.7776,0.0008,4.7768,768x768,20,20,1
sjf_aging,0.05,23,460.1682,460.1688,464.9716,4.8035,0.0006,4.8029,768x768,20,20,1
sjf_aging,0.05,24,480.178,480.1792,516.0712,35.8932,0.0012,35.8921,1536x1536,35,35,3
sjf_aging,0.05,25,500.2086,516.0715,520.8509,20.6424,15.863,4.7794,768x768,20,20,1
