algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
sjf_aging_no_preempt,0.125,0,0.0,0.0005,11.0231,11.0231,0.0005,11.0225,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,1,8.0096,11.0235,13.5033,5.4937,3.0139,2.4799,512x512,20,20,0
sjf_aging_no_preempt,0.125,2,16.0126,16.0133,20.8165,4.8039,0.0007,4.8032,768x768,20,20,0
sjf_aging_no_preempt,0.125,3,24.0183,24.0192,28.8021,4.7839,0.0009,4.7829,768x768,20,20,0
sjf_aging_no_preempt,0.125,4,32.017,32.0177,43.0644,11.0475,0.0007,11.0468,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,5,40.0286,43.0647,54.0781,14.0495,3.0361,11.0134,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,6,48.0267,54.0785,89.9172,41.8905,6.0518,35.8388,1536x1536,35,35,0
sjf_aging_no_preempt,0.125,7,56.0284,89.9178,92.4021,36.3738,33.8895,2.4843,512x512,20,20,0
sjf_aging_no_preempt,0.125,9,72.0384,92.4026,94.8827,22.8444,20.3642,2.4802,512x512,20,20,0
sjf_aging_no_preempt,0.125,8,64.0299,94.8833,105.9085,41.8786,30.8534,11.0252,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,10,80.0503,105.9089,110.6707,30.6204,25.8586,4.7617,768x768,20,20,0
sjf_aging_no_preempt,0.125,12,96.0585,110.671,113.1526,17.0941,14.6125,2.4816,512x512,20,20,0
sjf_aging_no_preempt,0.125,11,88.0592,113.1529,124.1901,36.1309,25.0937,11.0372,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,13,104.063,124.1905,128.9564,24.8934,20.1275,4.7659,768x768,20,20,0
sjf_aging_no_preempt,0.125,14,112.0622,128.9568,139.9805,27.9183,16.8946,11.0237,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,16,128.0686,139.9808,144.7427,16.6741,11.9122,4.7619,768x768,20,20,0
sjf_aging_no_preempt,0.125,15,120.0666,144.743,155.7656,35.6991,24.6764,11.0227,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,17,136.0692,155.766,166.7897,30.7205,19.6968,11.0237,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,19,152.0771,166.7901,169.268,17.1909,14.713,2.4779,512x512,20,20,0
sjf_aging_no_preempt,0.125,18,144.0735,169.2685,180.2967,36.2232,25.195,11.0282,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,20,160.0815,180.2971,191.3109,31.2294,20.2157,11.0137,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,22,176.0873,191.3111,196.075,19.9876,15.2238,4.7638,768x768,20,20,0
sjf_aging_no_preempt,0.125,21,168.0828,196.0755,207.0958,39.013,27.9927,11.0203,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,23,184.0868,207.0962,211.8621,27.7753,23.0093,4.7659,768x768,20,20,0
sjf_aging_no_preempt,0.125,25,200.093,211.8624,216.6586,16.5656,11.7694,4.7962,768x768,20,20,0
sjf_aging_no_preempt,0.125,26,208.0919,216.659,219.1523,11.0603,8.5671,2.4932,512x512,20,20,0
sjf_aging_no_preempt,0.125,24,192.0867,219.1526,255.0454,62.9588,27.066,35.8928,1536x1536,35,35,0
sjf_aging_no_preempt,0.125,27,216.0944,255.0457,257.5303,41.4359,38.9514,2.4845,512x512,20,20,0
sjf_aging_no_preempt,0.125,28,224.0959,257.5306,268.559,44.4631,33.4347,11.0285,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,29,232.1076,268.5595,279.5875,47.4798,36.4519,11.0279,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,30,240.1178,279.5879,290.6226,50.5048,39.4701,11.0347,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,31,248.1185,290.6229,301.6474,53.5289,42.5044,11.0245,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,34,272.1205,301.6478,306.4109,34.2904,29.5272,4.7631,768x768,20,20,0
sjf_aging_no_preempt,0.125,32,256.1196,306.4112,317.4396,61.3201,50.2917,11.0284,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,35,280.4885,317.4401,328.4611,47.9726,36.9516,11.021,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,36,288.1324,328.4615,339.4847,51.3523,40.3291,11.0232,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,37,296.1367,339.4851,350.5155,54.3788,43.3484,11.0305,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,41,328.1484,350.5162,352.9967,24.8483,22.3678,2.4805,512x512,20,20,0
sjf_aging_no_preempt,0.125,39,312.139,352.997,364.2769,52.1379,40.858,11.2799,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,42,336.1527,364.2777,369.0421,32.8894,28.125,4.7644,768x768,20,20,0
sjf_aging_no_preempt,0.125,44,352.1542,369.0426,371.5257,19.3715,16.8883,2.4832,512x512,20,20,0
sjf_aging_no_preempt,0.125,43,344.1539,371.5262,376.2885,32.1346,27.3724,4.7622,768x768,20,20,0
sjf_aging_no_preempt,0.125,40,320.143,376.2888,387.3098,67.1668,56.1458,11.0209,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,46,368.161,387.3104,389.7928,21.6318,19.1495,2.4823,512x512,20,20,0
sjf_aging_no_preempt,0.125,45,360.159,389.7933,394.5561,34.3971,29.6343,4.7628,768x768,20,20,0
sjf_aging_no_preempt,0.125,33,264.1206,394.5564,430.4105,166.2899,130.4359,35.854,1536x1536,35,35,0
sjf_aging_no_preempt,0.125,47,376.1625,430.411,435.1785,59.0161,54.2485,4.7675,768x768,20,20,0
sjf_aging_no_preempt,0.125,49,392.1651,435.1789,439.942,47.7769,43.0138,4.7631,768x768,20,20,0
sjf_aging_no_preempt,0.125,50,400.1682,439.9424,444.7087,44.5406,39.7742,4.7663,768x768,20,20,0
sjf_aging_no_preempt,0.125,51,408.1756,444.7093,449.4744,41.2987,36.5336,4.7651,768x768,20,20,0
sjf_aging_no_preempt,0.125,52,416.1839,449.4749,454.2414,38.0575,33.291,4.7665,768x768,20,20,0
sjf_aging_no_preempt,0.125,48,384.1632,454.2417,465.2724,81.1092,70.0785,11.0307,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,38,304.1384,465.2727,501.151,197.0126,161.1343,35.8783,1536x1536,35,35,0
sjf_aging_no_preempt,0.125,56,448.2062,501.1518,505.9196,57.7134,52.9455,4.7679,768x768,20,20,0
sjf_aging_no_preempt,0.125,58,464.2098,505.9202,510.6836,46.4738,41.7104,4.7634,768x768,20,20,0
sjf_aging_no_preempt,0.125,59,472.2116,510.684,515.4568,43.2452,38.4725,4.7727,768x768,20,20,0
sjf_aging_no_preempt,0.125,54,432.3011,515.4571,526.4964,94.1953,83.156,11.0393,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,55,440.4189,526.4967,537.521,97.102,86.0778,11.0242,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,57,456.2074,537.5214,548.5461,92.3387,81.3139,11.0247,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,61,488.2336,548.5465,559.5734,71.3398,60.3128,11.027,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,67,536.2469,559.5737,562.0532,25.8063,23.3268,2.4795,512x512,20,20,0
sjf_aging_no_preempt,0.125,66,528.243,562.0537,566.8161,38.5731,33.8107,4.7624,768x768,20,20,0
sjf_aging_no_preempt,0.125,62,496.2382,566.8167,577.8431,81.6049,70.5786,11.0264,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,68,544.2483,577.8437,582.6111,38.3628,33.5954,4.7674,768x768,20,20,0
sjf_aging_no_preempt,0.125,63,504.238,582.6116,593.6439,89.4059,78.3736,11.0323,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,69,552.2492,593.6444,598.4164,46.1672,41.3953,4.7719,768x768,20,20,0
sjf_aging_no_preempt,0.125,64,512.2404,598.417,609.4478,97.2074,86.1766,11.0308,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,70,560.2563,609.4484,614.2183,53.9621,49.1921,4.7699,768x768,20,20,0
sjf_aging_no_preempt,0.125,65,520.2424,614.2191,625.247,105.0046,93.9768,11.0279,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,73,584.2569,625.2475,630.011,45.7541,40.9905,4.7635,768x768,20,20,0
sjf_aging_no_preempt,0.125,53,424.1927,630.0115,665.9061,241.7134,205.8188,35.8946,1536x1536,35,35,0
sjf_aging_no_preempt,0.125,75,600.2676,665.9071,670.6753,70.4077,65.6396,4.7682,768x768,20,20,0
sjf_aging_no_preempt,0.125,78,624.2856,670.6762,675.4411,51.1556,46.3906,4.7649,768x768,20,20,0
sjf_aging_no_preempt,0.125,79,632.2872,675.4416,680.209,47.9218,43.1543,4.7674,768x768,20,20,0
sjf_aging_no_preempt,0.125,74,592.2664,680.2094,691.2428,98.9764,87.9429,11.0335,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,81,648.311,691.2438,696.0141,47.7031,42.9328,4.7703,768x768,20,20,0
sjf_aging_no_preempt,0.125,77,616.2763,696.0145,707.0454,90.7691,79.7382,11.0309,1024x1024,25,25,0
sjf_aging_no_preempt,0.125,84,672.3228,707.0459,712.01,39.6872,34.7231,4.9641,768x768,20,20,0
sjf_aging_no_preempt,0.125,60,480.222,712.0107,747.8715,267.6495,231.7887,35.8608,1536x1536,35,35,0
